month,nums_category_img,count,total,proportion
01,91,5,3583,0.0013954786491766676
01,93,1,3583,0.00027909572983533354
01,94,1,3583,0.00027909572983533354
01,96,5,3583,0.0013954786491766676
01,97,3,3583,0.0008372871895060006
02,0,150,2875,0.05217391304347826
02,1,158,2875,0.05495652173913043
02,2,162,2875,0.05634782608695652
02,3,96,2875,0.033391304347826084
02,4,192,2875,0.06678260869565217
02,5,104,2875,0.03617391304347826
02,6,201,2875,0.06991304347826087
02,7,113,2875,0.03930434782608696
02,8,79,2875,0.027478260869565216
02,9,230,2875,0.08
02,10,91,2875,0.03165217391304348
02,11,116,2875,0.04034782608695652
02,12,101,2875,0.035130434782608695
02,13,98,2875,0.03408695652173913
02,14,140,2875,0.04869565217391304
02,15,79,2875,0.027478260869565216
02,16,134,2875,0.04660869565217391
02,17,210,2875,0.07304347826086957
02,18,169,2875,0.058782608695652175
02,19,136,2875,0.04730434782608696
02,20,2,2875,0.0006956521739130435
02,22,4,2875,0.001391304347826087
02,26,2,2875,0.0006956521739130435
02,27,2,2875,0.0006956521739130435
02,28,2,2875,0.0006956521739130435
02,29,3,2875,0.0010434782608695651
02,30,1,2875,0.00034782608695652176
02,31,2,2875,0.0006956521739130435
02,32,1,2875,0.00034782608695652176
02,33,1,2875,0.00034782608695652176
02,34,1,2875,0.00034782608695652176
02,36,2,2875,0.0006956521739130435
02,37,2,2875,0.0006956521739130435
02,38,5,2875,0.0017391304347826088
02,40,1,2875,0.00034782608695652176
02,43,2,2875,0.0006956521739130435
02,46,2,2875,0.0006956521739130435
02,47,7,2875,0.002434782608695652
02,49,1,2875,0.00034782608695652176
02,51,5,2875,0.0017391304347826088
02,53,1,2875,0.00034782608695652176
02,55,5,2875,0.0017391304347826088
02,59,1,2875,0.00034782608695652176
02,60,2,2875,0.0006956521739130435
02,63,3,2875,0.0010434782608695651
02,64,1,2875,0.00034782608695652176
02,67,3,2875,0.0010434782608695651
02,68,2,2875,0.0006956521739130435
02,71,3,2875,0.0010434782608695651
02,72,4,2875,0.001391304347826087
02,74,2,2875,0.0006956521739130435
