poster_id,post_id,nums_category_img,post_date,post_like,post_collect
5657fe6082ec392034a6fafa,6545db1d000000001e03e750,18,2023-11-04,30,11
5c17274b0000000005004762,662763420000000001006292,11,04-26,30,13
61f2192900000000100070b8,65f918cd0000000012021373,13,03-19,190,35
5aa3c4b04eacab3f6561dd70,65fa5b4b00000000120227d2,14,03-20,144,58
572ca3265e87e77423f3ff48,65fb9cbd000000000d00efe5,15,03-21,34,11
59f19270e8ac2b54e5dd9446,661c6568000000001a014438,15,04-15,10,10
592c72be50c4b47b345a70f0,665af8ca00000000050075bb,1,06-01,220,63
592c72be50c4b47b345a70f0,665af8ca00000000050075bb,1,06-01,220,63
5a5e0afb11be1017b83be966,6564908d000000003c0102e6,14,2023-12-12,10,10
5f4c99eb0000000001005b17,664b191c0000000005007cf3,0,2024-05-20,3090,2481
5f4c99eb0000000001005b17,664b191c0000000005007cf3,0,2024-05-20,3070,2462
56526e4ce4b1cf0da0e3b5e1,650ac7e900000000130296ad,18,2023-09-20,2226,887
5d440885000000001003fb73,661a705e000000001b010ea6,15,04-13,153,69
5d440885000000001003fb73,661a705e000000001b010ea6,15,2024-04-13,152,68
61f2192900000000100070b8,65658b8e000000003202c0d9,5,2023-11-28,193,36
617fb2900000000010007cda,654705840000000025020ca7,8,2023-11-05,782,71
5f4c99eb0000000001005b17,659f6f4600000000110305c7,0,2024-01-11,519,137
5f0e7aeb000000000101d59e,657af921000000000602ab78,19,2023-12-14,613,362
5f0e7aeb000000000101d59e,657af921000000000602ab78,19,2023-12-14,613,362
57df3ffc50c4b44f636c3a3a,66025696000000001203664d,2,2024-03-26,825,398
61e0fb3b0000000010009839,666547350000000006004260,5,06-09,10,10
592c72be50c4b47b345a70f0,662e48790000000001031031,1,04-28,10,10
592c72be50c4b47b345a70f0,662e48790000000001031031,1,04-28,757,274
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,6,03-04,173,78
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,6,03-04,173,78
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,6,03-04,10,10
5f4c99eb0000000001005b17,65b0ee63000000002c029da9,0,2024-01-25,721,287
5d975024000000000100966b,6585a6630000000038030c8a,4,2023-12-22,200,53
592c72be50c4b47b345a70f0,65b643ef000000002c015b02,1,01-28,1160,395
592c72be50c4b47b345a70f0,65b643ef000000002c015b02,1,01-28,1000,10
6213b096000000001000db1a,659394050000000011017532,4,01-02,205,38
5f0e7aeb000000000101d59e,658436960000000009018d9d,19,2023-12-21,676,313
5f9e1618000000000101ce79,65cce26f000000002d001c11,4,2024-02-14,14677,1666
