poster_id,post_id,nums_category_img,post_date,post_like,post_collect,count,total,proportion
5c566fc4000000001b033058,66165697000000001b009654,10,04-11,124,37,200.0,3936.0,0.0508130081300813
5c566fc4000000001b033058,66165697000000001b009654,10,04-11,124,37,200.0,3936.0,0.0508130081300813
5a9c2131e8ac2b202f6954a2,65eb20ad000000000b021490,0,03-08,158,51,548.0,8672.0,0.0631918819188191
59f19270e8ac2b54e5dd9446,6508c3e0000000001e031b6b,5,09-19,16,7,109.0,3023.0,0.0360568971220641
5df0e2f60000000001008fb6,665ee430000000000f00fc1f,14,06-04,1278,434,61.0,1662.0,0.0367027677496991
57df3ffc50c4b44f636c3a3a,64f567c4000000001e0292e2,2,09-04,1197,835,105.0,3023.0,0.0347337082368508
61f2192900000000100070b8,66272549000000000d033857,7,05-02,111,17,90.0,1487.0,0.0605245460659045
61f2192900000000100070b8,64d465fb00000000100339d5,13,08-13,108,36,62.0,2513.0,0.0246717071229606
5d440885000000001003fb73,66038a8100000000120378eb,15,03-27,69,22,490.0,8672.0,0.0565036900369003
57df3ffc50c4b44f636c3a3a,660cb3a0000000000401a840,2,04-03,466,176,255.0,3936.0,0.0647865853658536
6213b096000000001000db1a,65d4358e0000000001029db3,17,02-20,10,10,416.0,5853.0,0.0710746625662053
63e9ebb600000000260112e7,665e602c000000000f00d64e,3,06-04,180,57,63.0,1662.0,0.0379061371841155
58ad83346a6a6968387219fc,65c98ec7000000000a0310d0,10,02-12,861,254,253.0,5853.0,0.0432256962241585
5d975024000000000100966b,661e78cd0000000001031507,14,04-16,345,153,187.0,3936.0,0.047510162601626
5c32b1cf000000000603dd87,649d47ff000000001203f270,9,06-29,524,136,95.0,1662.0,0.0571600481347773
5a8ab60a11be10413f558601,659fbed9000000001e00901c,17,01-11,103,13,384.0,4745.0,0.0809272918861959
56e4273e1c07df0bc302b5c4,64eb0410000000000a018bcb,2,08-27,493,221,100.0,2513.0,0.0397930760047751
5eca3c6e000000000100153f,6654660a000000000f00c07d,2,05-27,86,17,85.0,1487.0,0.0571620712844653
5eca3c6e000000000100153f,6654660a000000000f00c07d,2,05-27,86,17,85.0,1487.0,0.0571620712844653
5eca3c6e000000000100153f,6654660a000000000f00c07d,2,05-27,86,17,85.0,1487.0,0.0571620712844653
5c17274b0000000005004762,664708e40000000014019972,11,05-17,1000,10,150.0,1487.0,0.1008742434431741
5c17274b0000000005004762,66090ce8000000001a013e4e,11,03-31,59,41,106.0,8672.0,0.0122232472324723
5f4c99eb0000000001005b17,6656e6eb000000001401b350,0,05-29,2009,317,71.0,1487.0,0.0477471418964357
5f4c99eb0000000001005b17,6656e6eb000000001401b350,0,05-29,1996,313,71.0,1487.0,0.0477471418964357
54c7a018b4c4d6163d68920a,64dedd8c0000000010032d21,3,08-18,91,18,108.0,2513.0,0.0429765220851571
61ea876e0000000010006aa7,66572cb3000000000f00f4fa,14,05-29,155,51,56.0,1487.0,0.0376597175521183
5d975024000000000100966b,6496d0bf000000001303f375,14,06-24,48,13,61.0,1662.0,0.0367027677496991
61f2192900000000100070b8,66029400000000001203dd03,8,03-27,597,156,159.0,8672.0,0.0183348708487084
58a1c839a9b2ed49d81f483b,66127f49000000001b00d593,10,04-07,133,11,200.0,3936.0,0.0508130081300813
61bc9352000000001000ec0d,65f27d0c00000000140064f4,0,03-14,6642,2995,548.0,8672.0,0.0631918819188191
6213b096000000001000db1a,64a0eae40000000013035eba,17,07-02,145,43,182.0,1905.0,0.0955380577427821
5f0e7aeb000000000101d59e,64de1df5000000000302346f,19,08-17,582,335,131.0,2513.0,0.0521289295662554
5cc2058b0000000011004f19,661f60960000000001033337,13,04-17,997,100,90.0,3936.0,0.0228658536585365
5cc2058b0000000011004f19,661f60960000000001033337,13,04-17,997,100,90.0,3936.0,0.0228658536585365
5cc2058b0000000011004f19,661f60960000000001033337,13,04-17,997,100,90.0,3936.0,0.0228658536585365
59719def50c4b462f79a91b5,6655f8e60000000016013347,1,05-28,956,332,15.0,1487.0,0.0100874243443174
5f4c99eb0000000001005b17,66307300000000001e038c56,0,04-30,911,475,262.0,3936.0,0.0665650406504065
5f4c99eb0000000001005b17,66307300000000001e038c56,0,04-30,909,473,262.0,3936.0,0.0665650406504065
5c32b1cf000000000603dd87,64ebef4e000000000301c295,9,08-28,758,202,281.0,2513.0,0.1118185435734182
5c32b1cf000000000603dd87,64ebef4e000000000301c295,9,08-28,758,202,281.0,2513.0,0.1118185435734182
5bc7fce62d9b750001ac98e0,65d85f2e0000000007027786,12,02-23,398,193,165.0,5853.0,0.0281906714505381
5bc7fce62d9b750001ac98e0,65d85f2e0000000007027786,12,02-23,397,192,165.0,5853.0,0.0281906714505381
5f4c99eb0000000001005b17,659f6f4600000000110305c7,0,01-11,519,137,286.0,4745.0,0.0602739726027397
57df3ffc50c4b44f636c3a3a,65af4a030000000010038ebe,2,01-23,715,208,296.0,4745.0,0.062381454162276
5df0e2f60000000001008fb6,66618746000000000c0193fd,0,06-06,193,81,74.0,1662.0,0.0445246690734055
54c7a018b4c4d6163d68920a,649e4d050000000012030841,4,07-11,113,32,80.0,1905.0,0.0419947506561679
5b7d32c3408dd0000133df33,6594f88a00000000100123b3,4,01-03,243,46,384.0,4745.0,0.0809272918861959
5b7d32c3408dd0000133df33,6594f88a00000000100123b3,4,01-03,243,46,384.0,4745.0,0.0809272918861959
5cc2058b0000000011004f19,65a09117000000001a0007da,13,01-12,545,78,175.0,4745.0,0.0368809272918862
57df3ffc50c4b44f636c3a3a,65fa62f40000000012035c2c,2,03-20,10,10,480.0,8672.0,0.055350553505535
57df3ffc50c4b44f636c3a3a,65fa62f40000000012035c2c,2,03-20,735,388,480.0,8672.0,0.055350553505535
592c72be50c4b47b345a70f0,66193669000000001a01465c,1,04-12,2036,646,138.0,3936.0,0.0350609756097561
61f2192900000000100070b8,65af313f000000002c028fa8,5,01-23,313,84,122.0,4745.0,0.0257112750263435
55ba37e567bc652d2acdc72d,666136c9000000000e0331b9,8,06-06,87,14,82.0,1662.0,0.049338146811071
5847e03f6a6a6974edfc065e,664ffcfc000000001303cc42,15,05-24,307,104,37.0,1487.0,0.0248823133826496
5bc7fce62d9b750001ac98e0,66061303000000001203ca4c,5,03-29,160,14,276.0,8672.0,0.0318265682656826
5daf230d0000000001009946,64829e2700000000120331ff,17,06-10,1000,10,174.0,1662.0,0.1046931407942238
5cc2058b0000000011004f19,65bafdc2000000002c03c92e,5,02-01,240,35,160.0,5853.0,0.0273364086793097
5c17274b0000000005004762,663c506e000000001e031bb9,11,05-09,55,30,150.0,1487.0,0.1008742434431741
5eca3c6e000000000100153f,65e03fa0000000000b020596,12,03-01,133,55,342.0,8672.0,0.0394372693726937
6052d72e000000000101f84e,6664f1f0000000000e032120,4,06-09,1000,10,114.0,1662.0,0.0685920577617328
5bd97a789333970001407645,649d51b200000000130012c5,9,06-29,10,10,95.0,1662.0,0.0571600481347773
566b06e8b8ce1a3553270156,64886f07000000000800ff08,15,06-15,27,15,48.0,1662.0,0.0288808664259927
5fd456e40000000001003baf,66646cc9000000001303d9ee,4,06-09,33,21,114.0,1662.0,0.0685920577617328
5aba606911be10295ed87da0,662b2b8a000000001c006ed8,5,04-26,8871,3515,102.0,3936.0,0.0259146341463414
5d975024000000000100966b,65e8562b0000000004003bd9,3,03-06,149,74,372.0,8672.0,0.0428966789667896
5daf230d0000000001009946,663d99a9000000001e027149,10,05-10,533,81,102.0,1487.0,0.0685944855413584
5847e03f6a6a6974edfc065e,6655b1f200000000150129e7,4,05-28,67,12,103.0,1487.0,0.0692669804976462
5daf230d0000000001009946,6652bef3000000000f00f71d,10,05-26,4108,775,102.0,1487.0,0.0685944855413584
5f4c99eb0000000001005b17,66165cb7000000001a00dac8,0,04-10,5372,2540,262.0,3936.0,0.0665650406504065
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,14,03-04,173,78,460.0,8672.0,0.0530442804428044
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,14,03-04,173,78,460.0,8672.0,0.0530442804428044
